id,label,substate,in_slop_archive,body_chars,cve_ids,created_at,title
"518097","unlabelled","informative","False","759","['CVE-2019-3823']","2019-03-28T15:41:49.311Z","libcurl: SMTP end-of-response out-of-bounds read - CVE-2019-3823"
"545052","unlabelled","not-applicable","False","702","[]","2019-04-22T07:32:14.553Z","Github wikis are editable by anyone #Githubwikistakeover"
"547630","vuln","resolved","False","2378","['CVE-2019-5435', 'CVE-2018-14618']","2019-04-24T12:05:35.567Z","CVE-2019-5435: An integer overflow found in /lib/urlapi.c"
"550696","vuln","resolved","False","1167","['CVE-2019-5436']","2019-04-29T18:08:38.242Z","CVE-2019-5436: Heap Buffer Overflow at lib/tftp.c"
"591770","unlabelled","informative","False","3149","[]","2019-05-28T18:58:13.144Z","Signed integer overflow in tool_progress_cb()"
"600359","unlabelled","informative","False","1934","[]","2019-06-05T13:22:01.791Z","Integer overflow in the source code tool_cb_prg.c"
"608577","vuln","resolved","False","2530","['CVE-2019-5443']","2019-06-12T02:21:14.871Z","CVE-2019-5443: Windows Privilege Escalation: Malicious OpenSSL Engine"
"627245","unlabelled","informative","False","1461","[]","2019-06-24T13:23:01.226Z","Integer overlow in 'header_append' function"
"636013","unlabelled","informative","False","1744","[]","2019-07-04T23:24:45.720Z","huge COLUMNS causes progress-bar to buffer overflow"
"637800","unlabelled","informative","False","3381","[]","2019-07-08T17:08:00.783Z","Libcurl ocasionally sends HTTPS traffic to port 443 rather than specified port 8080"
"640530","unlabelled","not-applicable","False","3163","[]","2019-07-11T16:32:08.993Z","Insecure Frame (External)"
"640532","unlabelled","not-applicable","False","2128","[]","2019-07-11T16:36:34.770Z","Active Mixed Content over HTTPS"
"661847","unlabelled","informative","False","809","[]","2019-07-27T15:07:00.843Z","Integer overflows in tool_operate.c at line 1541"
"662412","unlabelled","informative","False","676","[]","2019-07-29T01:10:32.565Z","Integer overflow  at line 1603 in the src/operator.c file"
"684603","vuln","resolved","False","1489","['CVE-2019-5482', 'CVE-2019-5436']","2019-08-29T15:52:19.164Z","CVE-2019-5482: Heap buffer overflow in TFTP when using small blksize"
"686823","vuln","resolved","False","1106","['CVE-2019-5481']","2019-09-03T11:51:58.974Z","CVE-2019-5481: krb5: double-free in read_data() after realloc() fail"
"687734","unlabelled","informative","False","316","[]","2019-09-04T12:49:57.663Z","Double-free of `trailers_buf' on `Curl_http_compile_trailers()` failure"
"688048","unlabelled","informative","False","1986","[]","2019-09-04T18:47:19.056Z","Incorrect IPv6 literal parsing leads to validated connection to unexpected https server."
"694449","unlabelled","informative","False","1935","[]","2019-09-13T14:09:24.170Z","Buffer write overflow when forming dns over http request"
